"CustomerID","strategic_priority","pred_sensitivity","business_value"
3000002,"Maintain (Standard)",-0.0167741591539821,-0.402579819695569
3000010,"Maintain (Standard)",-0.0139453696278987,-0.236931829977999
3000014,"Maintain (Standard)",-0.0144951975279666,-0.550817506062731
3000022,"Protect (High Value, Negative Sensitivity)",-0.00833759798092741,-0.686017561870707
3000026,"Maintain (Standard)",-0.0167385028650655,-0.286897939107223
3000030,"Maintain (Standard)",-0.0135899412194986,-0.51709726340192
3000038,"Maintain (Standard)",-0.0150193333707662,-0.475512094518458
3000042,"Protect (High Value, Negative Sensitivity)",-0.0101607496484502,-0.631287375658211
3000046,"Maintain (Standard)",-0.0150139874174043,-0.52999375583437
3000050,"Protect (High Value, Negative Sensitivity)",-0.0112471756573599,-0.911021228246149
3000054,"Maintain (Standard)",-0.0168004490528813,-0.423875329604194
3000058,"Protect (High Value, Negative Sensitivity)",-0.0162845605062714,-3.46063195318774
3000062,"Maintain (Standard)",-0.0106831817169287,-0.454676213872484
3000066,"Protect (High Value, Negative Sensitivity)",-0.0103657095404288,-0.65324701523782
3000078,"Maintain (Standard)",-0.0120564693476165,-0.614518242648013
3000082,"Protect (High Value, Negative Sensitivity)",-0.0209552768139682,-3.61352793380068
3000102,"Maintain (Standard)",-0.0150252363014286,-0.450606836679844
3000118,"Maintain (Standard)",-0.0132356703567533,-0.400511384995355
3000122,"Maintain (Standard)",-0.0145733476731935,-0.356901284516508
3000126,"Maintain (Standard)",-0.0147604527957022,-0.442813583871065
3000130,"Maintain (Standard)",-0.0171694415535028,-0.610373647227025
3000134,"Maintain (Standard)",-0.0167332284040893,-0.353907780746488
3000138,"Maintain (Standard)",-0.0142972116585823,-0.407470532269595
3000142,"Protect (High Value, Negative Sensitivity)",-0.0157971941640682,-1.57829766893205
3000146,"Maintain (Standard)",-0.0152228416374512,-0.456685249123537
3000158,"Maintain (Standard)",-0.0153112030229656,-0.512619077208889
3000162,"Protect (High Value, Negative Sensitivity)",-0.0194933976367539,-1.6015775498357
3000166,"Maintain (Standard)",-0.0159138035005045,-0.477414105015136
3000174,"Maintain (Standard)",-0.0166698898265999,-0.269052021801323
3000182,"Maintain (Standard)",-0.00926821504368239,-0.537371108232705
3000190,"Protect (High Value, Negative Sensitivity)",-0.0150190064463471,-1.17583801468451
3000194,"Protect (High Value, Negative Sensitivity)",-0.017840512113018,-1.91303811387892
3000202,"Maintain (Standard)",-0.0146688928539152,-0.443880697759475
3000214,"Protect (High Value, Negative Sensitivity)",-0.0157246568796682,-2.29249772648682
3000222,"Maintain (Standard)",-0.0129484235350303,-0.65467229393113
3000226,"Maintain (Standard)",-0.0111651031590481,-0.572099885869623
3000230,"Maintain (Standard)",-0.0170245174166252,-0.343554761467496
3000234,"Maintain (Standard)",-0.0165446832506121,-0.609506130952549
3000238,"Maintain (Standard)",-0.0156817564081668,-0.595749925946257
3000250,"Protect (High Value, Negative Sensitivity)",-0.0134343796812219,-1.224812395537
3000262,"Maintain (Standard)",-0.0129725477818561,-0.38567384555458
3000270,"Protect (High Value, Negative Sensitivity)",-0.00791363583832159,-1.18696623938986
3000282,"Protect (High Value, Negative Sensitivity)",-0.0108031687447625,-0.917297058117784
3000290,"Maintain (Standard)",-0.0104732972575668,-0.182549571199389
3000294,"Protect (High Value, Negative Sensitivity)",-0.0188473398185158,-2.02137719553582
3000298,"Protect (High Value, Negative Sensitivity)",-0.0140760433424374,-2.30199612822221
3000302,"Protect (High Value, Negative Sensitivity)",-0.00953762715671408,-0.632153927947009
3000310,"Maintain (Standard)",-0.0158463513213904,-0.334674939907765
3000318,"Protect (High Value, Negative Sensitivity)",-0.0145388936205235,-1.98339586771181
3000322,"Protect (High Value, Negative Sensitivity)",-0.0162758968134671,-1.24901232146546
3000330,"Protect (High Value, Negative Sensitivity)",-0.0183034565625068,-3.60138811323883
3000346,"Protect (High Value, Negative Sensitivity)",-0.0109923710859987,-0.873233959071737
3000350,"Maintain (Standard)",-0.0107408005386259,-0.604814478330022
3000354,"Protect (High Value, Negative Sensitivity)",-0.0141658797372043,-1.12746236828409
3000362,"Maintain (Standard)",-0.0152801366771199,-0.539388824702331
3000374,"Protect (High Value, Negative Sensitivity)",-0.0155981748961236,-1.18124978488344
3000378,"Maintain (Standard)",-0.00803312075181971,-0.401575706383467
3000382,"Maintain (Standard)",-0.0164112112476589,-0.385663464319985
3000386,"Maintain (Standard)",-0.0119835438970867,-0.359386481473631
3000394,"Protect (High Value, Negative Sensitivity)",-0.0129943082241816,-1.34205215339348
3000398,"Protect (High Value, Negative Sensitivity)",-0.0132919481986526,-0.955159397555177
3000406,"Protect (High Value, Negative Sensitivity)",-0.0178147566067436,-2.03319817152765
3000414,"Maintain (Standard)",-0.0166043782970003,-0.893149508595645
3000418,"Maintain (Standard)",-0.0151434318678812,-0.694326351142353
3000422,"Protect (High Value, Negative Sensitivity)",-0.0138322406634855,-1.31641434394391
3000426,"Protect (High Value, Negative Sensitivity)",-0.0137530503754285,-1.24616389451757
3000434,"Protect (High Value, Negative Sensitivity)",-0.0173642171390554,-3.92431307342652
3000442,"Protect (High Value, Negative Sensitivity)",-0.0150205229001439,-1.58977214375123
3000458,"Protect (High Value, Negative Sensitivity)",-0.0204586516038866,-2.32246613007321
3000462,"Maintain (Standard)",-0.0157663295958304,-0.811335321001433
3000466,"Maintain (Standard)",-0.0158502976262136,-0.563953589540682
3000474,"Protect (High Value, Negative Sensitivity)",-0.014169343445043,-1.62295659819522
3000490,"Protect (High Value, Negative Sensitivity)",-0.0201322226536195,-2.78791019307322
3000494,"Protect (High Value, Negative Sensitivity)",-0.0221898774285351,-3.53972924739992
3000502,"Maintain (Standard)",-0.0140886585232643,-0.711195482254383
3000506,"Protect (High Value, Negative Sensitivity)",-0.013546983711485,-1.01602377836137
3000510,"Protect (High Value, Negative Sensitivity)",-0.017115041782744,-4.81497470473936
3000514,"Protect (High Value, Negative Sensitivity)",-0.0124985793293549,-1.22273601579079
3000530,"Maintain (Standard)",-0.0147555978307553,-0.819083235585227
3000538,"Protect (High Value, Negative Sensitivity)",-0.012837335182602,-0.901052556466834
3000554,"Protect (High Value, Negative Sensitivity)",-0.016864313574748,-1.76653684695485
3000570,"Protect (High Value, Negative Sensitivity)",-0.0121132226261071,-3.159249593115
3000578,"Maintain (Standard)",-0.0170311589994634,-0.619763875990473
3000586,"Maintain (Standard)",-0.0127025777844053,-0.635128889220263
3000590,"Protect (High Value, Negative Sensitivity)",-0.00963275342821672,-1.02425067202228
3000602,"Maintain (Standard)",-0.0144037823645252,-0.503988344934736
3000618,"Maintain (Standard)",-0.0171185025892504,-0.466479195557074
3000634,"Protect (High Value, Negative Sensitivity)",-0.0156575241217349,-1.31257024712503
3000638,"Maintain (Standard)",-0.0157736920025585,-0.478258341517573
3000642,"Maintain (Standard)",-0.0153477663903044,-0.460432991709132
3000646,"Protect (High Value, Negative Sensitivity)",-0.0155862554999807,-1.6945376979579
3000654,"Maintain (Standard)",-0.0171787051708628,-0.554356815863742
3000674,"Maintain (Standard)",-0.014372747349017,-0.628376514099025
3000678,"Protect (High Value, Negative Sensitivity)",-0.0146032995831766,-0.962941574514663
3000682,"Maintain (Standard)",-0.0119541512441609,-0.388509915435231
3000706,"Protect (High Value, Negative Sensitivity)",-0.0148652399896159,-1.1801514027756
3000710,"Protect (High Value, Negative Sensitivity)",-0.0189999366433648,-1.72709424088186
3000722,"Protect (High Value, Negative Sensitivity)",-0.0181985996265231,-1.87736753747213
3000726,"Protect (High Value, Negative Sensitivity)",-0.0163042454843086,-2.67617885379441
3000734,"Maintain (Standard)",-0.0180019534212346,-0.145275764109363
3000738,"Maintain (Standard)",-0.0143652502571447,-0.593141183117503
3000762,"Protect (High Value, Negative Sensitivity)",-0.0164353524819059,-2.96197922428908
3000766,"Maintain (Standard)",-0.0127463529429258,-0.523747642424822
3000794,"Maintain (Standard)",-0.0165446832506121,-0.21921705307061
3000810,"Maintain (Standard)",-0.0190636792367159,-0.857103018482748
3000814,"Maintain (Standard)",-0.0172920802348739,-0.496801465147927
3000818,"Maintain (Standard)",-0.00972840692501545,-0.489436152397527
