"DroppedBlockedCalls","CustomerCareCalls","OverageMinutes","MonthlyRevenue","MonthlyMinutes","PercChangeMinutes","PercChangeRevenues","MonthsInService","CreditRating_num","Churn_flag"
1.3,0,0,24,219,-157,-19,61,1,1
0.3,0,0,16.99,10,-4,0,58,4,1
0,0,0,38,8,-2,0,60,3,0
59.7,4.3,0,82.28,1312,157,8.1,59,4,0
0,0,0,17.14,0,0,-0.2,53,1,1
10.7,0.7,0,38.05,682,148,-3.1,53,3,0
1,0,0,31.66,26,60,4,57,1,0
0.3,4,0,62.13,98,24,6.8,59,1,0
0,0,0,35.3,24,20,-0.3,53,1,0
0,0,0,81,1056,43,2.4,55,3,0
0,0,0,25.23,2,-2,-0.2,53,1,0
9,0.3,250,212.51,1972,-200,-106.8,59,4,0
5,1,6,42.56,270,202,-1.8,55,3,0
5,3.7,6,63.02,440,-16,0.2,57,3,0
2,0.3,2,50.97,162,-58,-1,56,3,0
25.3,0.3,362,172.44,1978,-1007,-72.5,58,1,1
0.3,0,0,29.99,47,14,0,54,1,0
0,0,0,30.26,34,32,-0.3,52,3,0
0,0,10,24.49,42,81,29.9,58,1,1
3.7,0,0,30,94,-54,0,54,4,0
0.7,0,0,35.55,139,-11,-0.6,52,1,0
4.3,0,14,21.15,46,-16,-4.2,58,1,0
0.3,0,0,28.5,66,41,0,56,1,0
16,2.7,97,99.91,1194,-14,-0.2,54,1,0
4,0,0,30,156,94,0,56,1,0
7,0,0,33.48,196,54,8.6,54,1,1
5,0,101,82.16,660,-184,-31.6,57,1,0
1.7,0.3,0,30,56,-47,0,53,1,0
1,0,0,16.14,4,-4,0,55,1,1
17,5,3,57.98,684,-2,0.6,55,3,1
17,1,0,78.29,852,-206,0,53,1,1
1.7,0.3,233,107.23,782,-258,-80,55,3,1
0,0.7,0,30.26,24,25,-0.3,51,1,1
26,3.3,265,145.79,1293,447,22.4,55,1,0
24.7,0,0,50.56,100,6,0,53,3,1
7.7,2,0,51.24,404,50,-1.2,55,1,1
0,0,0,20.18,1,0,-0.2,50,1,0
0.3,0,0,36.84,36,0,0.5,55,1,1
0.7,0,0,37.99,71,146,0,53,1,0
5.3,0.3,0,91.17,333,-31,-5.4,50,3,0
5,0,2,29.73,65,76,-0.3,50,3,0
26,9.7,0,149.99,2382,-230,0,56,3,1
15.3,2.7,0,84.91,745,367,-8.9,50,4,0
2.7,1,1,17.43,20,15,1.3,56,4,0
18,0,126,107.25,1671,-641,-29.7,54,4,0
15.7,0.3,0,163.54,1438,-186,93.9,50,4,0
5.3,9.7,53,66.28,1230,217,-8.6,52,1,0
0,0,9,21.12,18,10,12.1,54,1,0
8,0,163,136.42,560,79,64.6,56,4,1
10.7,0,65,76.74,1008,-52,5.4,52,1,0
32,0.7,872,196.76,3479,-394,-36.3,54,1,0
4,0,0,79.44,831,119,1.5,56,4,0
6.3,0.7,10,56.31,1010,14,-3.1,52,3,0
14.3,0.3,0,79.59,828,299,-1.1,50,1,0
4.7,0,0,35.3,148,-86,-0.3,50,4,0
4.3,0,0,75.73,493,-196,-0.7,52,1,0
12.7,6.7,2,49.99,820,26,0,56,1,0
0.3,0.3,30,23.5,34,19,4,52,1,0
7.3,0.7,0,29.99,148,20,0,54,4,0
13,3,38,103.28,1376,355,52.9,56,1,0
9.3,0,0,71.86,538,58,-0.6,54,1,0
9.3,0,52,114.13,1650,-177,17.9,50,1,0
13,0,161,90.25,952,308,51.2,54,6,1
5.3,0,162,53.79,1020,110,-50.8,54,1,1
0.7,0,0,45.85,70,-14,16.4,52,1,0
1.3,0,0,95.17,161,78,34,56,1,0
3.3,1.3,22,90.61,1151,225,-5.6,54,1,1
25.7,0,370,226,2338,-366,-95.4,54,4,0
4,0,0,105.84,784,-30,18.4,54,1,0
23.3,0,102,113.52,1807,-373,-16.4,52,1,0
5.7,0,39,51.46,368,-174,-13.7,56,1,1
9.7,0,0,35.58,291,-18,0.4,52,3,0
15,0.3,0,114.54,1172,184,-27.8,54,1,0
5.7,0.3,227,138.48,1580,-338,-57.5,50,1,1
24.3,0,666,159.52,2256,-2239,-76.5,54,3,1
0.7,0,0,50.48,711,-53,-0.5,56,2,0
14,0,0,75,343,-60,0,54,3,0
46.7,0.7,759,281.33,3808,5,-76.4,50,1,0
19.7,0.7,0,97.83,1670,240,-8.4,52,3,0
5.3,0,30,55.51,516,-45,-5.5,54,1,0
11.7,0.3,43,70.19,797,-9,-9.4,49,5,0
6,6.3,0,30.86,181,-146,-0.9,49,6,1
8,0,0,104.75,1166,-119,-1.9,49,1,0
30.3,4.7,0,260.81,3210,-422,-21.2,53,3,0
0,0.7,0,36.39,66,-66,-6.4,51,1,1
6,0,0,50,154,-47,0,51,3,0
30.7,11.3,107,106.33,2206,-102,-21.2,53,3,1
19,2,146,122,1806,-156,-32.8,49,6,0
6,0.7,0,34.99,44,-35,0,51,3,0
24.7,4,183,120.38,1730,474,27.4,55,6,0
0,0,0,27.25,0,0,-0.2,49,1,1
41,1,0,83.83,790,-60,0.9,51,1,1
2.3,2.7,0,30.32,219,-58,-59,51,1,0
0,0,0,30,18,-12,0,55,3,1
18.7,0.3,0,108.72,1228,-12,-0.7,55,1,0
1.7,0,0,32.27,112,-2,-0.3,49,1,0
3,0,30,43.72,245,53,7,51,1,0
5.7,0.3,45,65.94,572,-119,-15.6,51,3,0
8.7,3,7,32.5,295,41,6.4,53,1,0
0,0,64,79.39,848,-80,4.6,53,3,0
27,2,156,90.9,1710,-922,-15.9,55,3,1
7.7,0,216,103.16,866,-100,-48.2,49,3,0
49.3,0,0,164.14,1410,-520,-69.7,51,3,1
15.3,1,140,117.12,490,506,133.8,51,6,1
1,0,32,8.07,34,5,-2.3,49,1,1
0,0,0,41.29,71,-21,-1.3,53,1,0
34.7,0,99,180.22,3559,-149,-11.4,55,3,1
3.7,1.3,6,41.09,340,-154,-4.1,49,3,1
3.7,3.3,62,46.94,287,-57,-14,55,7,0
0,0,0,13.25,0,0,0,55,1,1
119.7,1.3,1094,44.96,3584,-1037,124.9,51,1,1
0,0,0,28.73,50,-12,-0.2,51,1,1
4.7,1.7,8,50.31,485,135,1.2,53,4,0
0.7,0,144,50.53,194,102,19.9,49,1,0
0.3,0,18,23.5,18,-18,-18.5,53,1,1
12.7,1.7,97,77.04,501,-113,6,53,4,1
23.7,0,537,166.82,3206,265,3.4,49,1,0
8.3,0,32,111.61,1161,-43,-6.6,55,1,0
6.3,0,0,111.7,143,-36,-3.2,53,2,1
3.3,0,50,81.6,149,74,17.4,53,1,0
25.7,0,0,85.58,890,-217,18.3,49,1,1
4.3,0.3,3,51.14,438,73,2.1,53,2,1
9.3,0,0,56.48,355,-171,-1.5,49,3,1
13.7,1.3,0,87.52,699,-86,-3.1,55,4,0
11.3,0,0,103.5,479,-166,-14.2,53,3,0
8,2,0,124.52,594,134,-40.5,51,5,1
7.3,0,0,134.3,731,-4,-1.1,55,3,0
0,0,0,75,2,-2,0,55,1,0
4.7,0,0,34.4,399,151,1.1,51,1,0
0.7,0.3,0,53.69,144,72,-0.4,49,1,0
58.7,0.3,443,135.15,2489,-1597,-50.2,55,1,1
28.3,0.3,0,94.99,1204,-784,-6.6,51,2,0
17,0,0,83.64,838,-111,2.7,51,1,0
57.3,0,0,104.45,1250,-538,2.7,48,1,1
17.7,0.3,6,79.88,1086,112,4.9,51,1,1
11,0,238,96.45,1027,-159,-28.9,53,1,0
11,0.7,24,77.81,503,-126,-12.9,53,1,0
2.3,0,6,50.58,432,139,1.7,55,2,0
6.7,0,88,63.3,415,156,38,50,3,1
25,3.3,229,121,1333,-233,-46,54,3,0
2.7,6,250,125.23,1104,-431,-34.2,54,1,1
42.3,5.3,1306,316.47,3148,997,14.3,50,1,1
16.7,0,0,112.56,1107,-1107,-26.3,50,6,1
0,0,0,20.12,12,6,3.4,54,1,0
4.7,0,0,49.99,772,-512,0,52,4,0
5,2,30,83.5,1130,90,10,48,1,0
0.3,3.7,0,29.99,46,20,0,52,1,1
