"Churn_flag","CustomerCareCalls","DroppedBlockedCalls","MonthlyRevenue","MonthlyMinutes","OverageMinutes","PercChangeMinutes","PercChangeRevenues","MonthsInService","CreditRating_num"
1,0,1.4,24,219,0,-157,-19,61,1
1,0,0.3,16.99,10,0,-4,0,58,4
0,0,0,38,8,0,-2,0,60,3
0,4.3,59.7,82.28,1312,0,157,8.1,59,4
1,0,0,17.14,0,0,0,-0.2,53,1
0,0.7,10.7,38.05,682,0,148,-3.1,53,3
0,0,1,31.66,26,0,60,4,57,1
0,4,0.3,62.13,98,0,24,6.8,59,1
0,0,0,35.3,24,0,20,-0.3,53,1
0,0,0,81,1056,0,43,2.4,55,3
0,0,0,25.23,2,0,-2,-0.2,53,1
0,0.3,9,212.51,1972,250,-200,-106.8,59,4
0,1,5,42.56,270,6,202,-1.8,55,3
0,3.7,5,63.02,440,6,-16,0.2,57,3
0,0.3,2,50.97,162,2,-58,-1,56,3
1,0.3,25.3,172.44,1978,362,-1007,-72.5,58,1
0,0,0.3,29.99,47,0,14,0,54,1
0,0,0,30.26,34,0,32,-0.3,52,3
1,0,0,24.49,42,10,81,29.9,58,1
0,0,3.7,30,94,0,-54,0,54,4
0,0,0.7,35.55,139,0,-11,-0.6,52,1
0,0,4.3,21.15,46,14,-16,-4.2,58,1
0,0,0.3,28.5,66,0,41,0,56,1
0,2.7,16,99.91,1194,97,-14,-0.2,54,1
0,0,4,30,156,0,94,0,56,1
1,0,7,33.48,196,0,54,8.6,54,1
0,0,5,82.16,660,101,-184,-31.6,57,1
0,0.3,1.7,30,56,0,-47,0,53,1
1,0,1,16.14,4,0,-4,0,55,1
1,5,17,57.98,684,3,-2,0.6,55,3
1,1,17,78.29,852,0,-206,0,53,1
1,0.3,1.7,107.23,782,233,-258,-80,55,3
1,0.7,0,30.26,24,0,25,-0.3,51,1
0,3.3,26,145.79,1293,265,447,22.4,55,1
1,0,24.6,50.56,100,0,6,0,53,3
1,2,7.6,51.24,404,0,50,-1.2,55,1
0,0,0,20.18,1,0,0,-0.2,50,1
1,0,0.3,36.84,36,0,0,0.5,55,1
0,0,0.7,37.99,71,0,146,0,53,1
0,0.3,5.3,91.17,333,0,-31,-5.4,50,3
0,0,5,29.73,65,2,76,-0.3,50,3
1,9.7,26,149.99,2382,0,-230,0,56,3
0,2.7,15.3,84.91,745,0,367,-8.9,50,4
0,1,2.6,17.43,20,1,15,1.3,56,4
0,0,18,107.25,1671,126,-641,-29.7,54,4
0,0.3,15.7,163.54,1438,0,-186,93.9,50,4
0,9.7,5.3,66.28,1230,53,217,-8.6,52,1
0,0,0,21.12,18,9,10,12.1,54,1
1,0,8,136.42,560,163,79,64.6,56,4
0,0,10.7,76.74,1008,65,-52,5.4,52,1
0,0.7,32,196.76,3479,872,-394,-36.3,54,1
0,0,4,79.44,831,0,119,1.5,56,4
0,0.7,6.3,56.31,1010,10,14,-3.1,52,3
0,0.3,14.3,79.59,828,0,299,-1.1,50,1
0,0,4.7,35.3,148,0,-86,-0.3,50,4
0,0,4.4,75.73,493,0,-196,-0.7,52,1
0,6.7,12.7,49.99,820,2,26,0,56,1
0,0.3,0.3,23.5,34,30,19,4,52,1
0,0.7,7.3,29.99,148,0,20,0,54,4
0,3,13,103.28,1376,38,355,52.9,56,1
0,0,9.3,71.86,538,0,58,-0.6,54,1
0,0,9,114.13,1650,52,-177,17.9,50,1
1,0,13,90.25,952,161,308,51.2,54,6
1,0,5.3,53.79,1020,162,110,-50.8,54,1
0,0,0.7,45.85,70,0,-14,16.4,52,1
0,0,1.4,95.17,161,0,78,34,56,1
1,1.3,3.3,90.61,1151,22,225,-5.6,54,1
0,0,25.7,226,2338,370,-366,-95.4,54,4
0,0,4,105.84,784,0,-30,18.4,54,1
0,0,23.3,113.52,1807,102,-373,-16.4,52,1
1,0,5.6,51.46,368,39,-174,-13.7,56,1
0,0,9.7,35.58,291,0,-18,0.4,52,3
0,0.3,15,114.54,1172,0,184,-27.8,54,1
1,0.3,5.7,138.48,1580,227,-338,-57.5,50,1
1,0,24.3,159.52,2256,666,-2239,-76.5,54,3
0,0,0.7,50.48,711,0,-53,-0.5,56,2
0,0,14,75,343,0,-60,0,54,3
0,0.7,46.6,281.33,3808,759,5,-76.4,50,1
