"term","OddsRatio","std.error","statistic","p.value","CI_low","CI_high","Significance"
"(Intercept)",0.113150531109467,0.0867209338351265,-25.1269920271314,2.52225190343426e-139,0.0954235483731727,0.134058528506067,"Significant"
"UsageDeclineFlag",1.20416692898881,0.0200696927654636,9.25714134177007,2.099785682115e-20,1.15771243134593,1.25247150417892,"Significant"
"CallsNone",1.16972054920581,0.0231980813521451,6.75766547538564,1.4023284299641e-11,1.11777630005415,1.22418804984485,"Significant"
"CallsHigh",0.956972102499353,0.0332393190792696,-1.3231630540492,0.185781159556713,0.896498515632716,1.02126584200265,"Not Sig."
"HighOverage",1.13280400272004,0.0318565628002596,3.91429477836406,9.06688144825918e-05,1.06420821586544,1.2057607693996,"Significant"
"LowCredit",0.889936770951935,0.0208862278188713,-5.58285888984516,2.36596706582913e-08,0.854229049747998,0.927110779484834,"Significant"
"sqrt_Tenure",1.4297024363728,0.0247450722256846,14.4459605090665,2.65825495895664e-47,1.36219857590598,1.50095740050213,"Significant"
"MonthlyRevenue",0.998389135403275,0.000285089578991883,-5.65493638814017,1.55904002334087e-08,0.997827047142927,0.99894282406997,"Significant"
"OverageRatio",2.63613479288017,0.111526384331432,8.69134022886742,3.58188601885889e-18,2.11755502605256,3.27893356628424,"Significant"
"I(MonthsInService^2)",0.999223664533512,5.66252505577563e-05,-13.7153825064256,8.21321019570842e-43,0.999112163267995,0.999333978774488,"Significant"
