"strategic_priority","revenue_segment","sensitivity_band","segment_size","current_churn_rate","avg_sensitivity","avg_monthly_revenue","avg_tenure","investment_level","specific_actions","budget_allocation"
"Protect (High Value, Negative Sensitivity)","High Value",NA,1,1,-0.0225,172.12,43,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","High Value","Very High",22,0.045,-0.0012,166.45,13.5,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","High Value","Very Low",6874,0.296,-0.0057,126.22,21.4,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","High Value","Low",1038,0.219,-0.0034,120.93,12.8,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","High Value","Medium",1113,0.208,-0.0028,114.08,10.3,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","High Value","High",39,0.282,-0.0019,111.82,8.3,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","Medium Value","Medium",637,0.413,-0.0022,70.73,18.6,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","Medium Value","Very Low",360,0.233,-0.0147,69.7,43.3,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","Medium Value","High",2612,0.296,-0.0019,68.99,20.4,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Protect (High Value, Negative Sensitivity)","Medium Value","Very High",3026,0.234,-0.0012,68.86,13.7,"Moderate Investment","Monitor closely, address issues before they escalate, maintain current service quality","30% of retention budget"
"Maintain (Standard)","Medium Value","Medium",356,0.452,-0.0021,51.41,16.6,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Medium Value","Very Low",571,0.301,-0.0143,49.94,42.5,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Medium Value","High",5517,0.327,-0.0019,49.75,20.1,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Medium Value","Very High",6306,0.231,-0.0012,49.73,14.7,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Low Value","Very High",136,0.235,-0.0017,33.1,9.6,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Low Value","High",1322,0.227,-0.002,30.64,9.3,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Low Value","Medium",7383,0.266,-0.0027,29.51,16.4,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Low Value","Low",8452,0.329,-0.0034,28.55,20.2,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
"Maintain (Standard)","Low Value","Very Low",1684,0.353,-0.0122,27.36,34,"Efficient Maintenance","Standard service levels, efficient cost management","10% of retention budget"
